all_employees_private,year,month,value_in_thousands
CES0500000001,1939,M01,25935
CES0500000001,1939,M02,26099
CES0500000001,1939,M03,26278
CES0500000001,1939,M04,26092
CES0500000001,1939,M05,26293
CES0500000001,1939,M06,26499
CES0500000001,1939,M07,26400
CES0500000001,1939,M08,26617
CES0500000001,1939,M09,26955
CES0500000001,1939,M10,27322
CES0500000001,1939,M11,27361
CES0500000001,1939,M12,27408
CES0500000001,1940,M01,27453
CES0500000001,1940,M02,27565
CES0500000001,1940,M03,27674
CES0500000001,1940,M04,27549
CES0500000001,1940,M05,27707
CES0500000001,1940,M06,27759
CES0500000001,1940,M07,27681
CES0500000001,1940,M08,28070
CES0500000001,1940,M09,28498
CES0500000001,1940,M10,28914
CES0500000001,1940,M11,29273
CES0500000001,1940,M12,29759
CES0500000001,1941,M01,30013
CES0500000001,1941,M02,30339
CES0500000001,1941,M03,30557
CES0500000001,1941,M04,30883
CES0500000001,1941,M05,31540
CES0500000001,1941,M06,31949
CES0500000001,1941,M07,32387
CES0500000001,1941,M08,32723
CES0500000001,1941,M09,32944
CES0500000001,1941,M10,33042
CES0500000001,1941,M11,33075
CES0500000001,1941,M12,33133
CES0500000001,1942,M01,33258
CES0500000001,1942,M02,33366
CES0500000001,1942,M03,33678
CES0500000001,1942,M04,33995
CES0500000001,1942,M05,34340
CES0500000001,1942,M06,34519
CES0500000001,1942,M07,34881
CES0500000001,1942,M08,35174
CES0500000001,1942,M09,35393
CES0500000001,1942,M10,35559
CES0500000001,1942,M11,35648
CES0500000001,1942,M12,35843
CES0500000001,1943,M01,36040
CES0500000001,1943,M02,36170
CES0500000001,1943,M03,36295
CES0500000001,1943,M04,36380
CES0500000001,1943,M05,36315
CES0500000001,1943,M06,36457
CES0500000001,1943,M07,36443
CES0500000001,1943,M08,36395
CES0500000001,1943,M09,36325
CES0500000001,1943,M10,36505
CES0500000001,1943,M11,36642
CES0500000001,1943,M12,36475
CES0500000001,1944,M01,36492
CES0500000001,1944,M02,36409
CES0500000001,1944,M03,36181
CES0500000001,1944,M04,35951
CES0500000001,1944,M05,35864
CES0500000001,1944,M06,35800
CES0500000001,1944,M07,35714
CES0500000001,1944,M08,35646
CES0500000001,1944,M09,35463
CES0500000001,1944,M10,35485
CES0500000001,1944,M11,35448
CES0500000001,1944,M12,35485
CES0500000001,1945,M01,35641
CES0500000001,1945,M02,35658
CES0500000001,1945,M03,35582
CES0500000001,1945,M04,35261
CES0500000001,1945,M05,35145
CES0500000001,1945,M06,34968
CES0500000001,1945,M07,34689
CES0500000001,1945,M08,34331
CES0500000001,1945,M09,32565
CES0500000001,1945,M10,32746
CES0500000001,1945,M11,33166
CES0500000001,1945,M12,33299
CES0500000001,1946,M01,34044
CES0500000001,1946,M02,33466
CES0500000001,1946,M03,34437
CES0500000001,1946,M04,35152
CES0500000001,1946,M05,35617
CES0500000001,1946,M06,36055
CES0500000001,1946,M07,36471
CES0500000001,1946,M08,36961
CES0500000001,1946,M09,37246
CES0500000001,1946,M10,37429
CES0500000001,1946,M11,37756
CES0500000001,1946,M12,37751
CES0500000001,1947,M01,37916
CES0500000001,1947,M02,37951
CES0500000001,1947,M03,38019
CES0500000001,1947,M04,37941
CES0500000001,1947,M05,38087
CES0500000001,1947,M06,38286
CES0500000001,1947,M07,38219
CES0500000001,1947,M08,38441
CES0500000001,1947,M09,38664
CES0500000001,1947,M10,38845
CES0500000001,1947,M11,38899
CES0500000001,1947,M12,38976
CES0500000001,1948,M01,39055
CES0500000001,1948,M02,38918
CES0500000001,1948,M03,39060
CES0500000001,1948,M04,38736
CES0500000001,1948,M05,39115
CES0500000001,1948,M06,39298
CES0500000001,1948,M07,39386
CES0500000001,1948,M08,39387
CES0500000001,1948,M09,39489
CES0500000001,1948,M10,39416
CES0500000001,1948,M11,39323
CES0500000001,1948,M12,39144
CES0500000001,1949,M01,38774
CES0500000001,1949,M02,38604
CES0500000001,1949,M03,38325
CES0500000001,1949,M04,38288
CES0500000001,1949,M05,38022
CES0500000001,1949,M06,37783
CES0500000001,1949,M07,37569
CES0500000001,1949,M08,37639
CES0500000001,1949,M09,37790
CES0500000001,1949,M10,36972
CES0500000001,1949,M11,37292
CES0500000001,1949,M12,37570
CES0500000001,1950,M01,37592
CES0500000001,1950,M02,37371
CES0500000001,1950,M03,37876
CES0500000001,1950,M04,38288
CES0500000001,1950,M05,38675
CES0500000001,1950,M06,39061
CES0500000001,1950,M07,39364
CES0500000001,1950,M08,40005
CES0500000001,1950,M09,40210
CES0500000001,1950,M10,40457
CES0500000001,1950,M11,40514
CES0500000001,1950,M12,40547
CES0500000001,1951,M01,40936
CES0500000001,1951,M02,41195
CES0500000001,1951,M03,41463
CES0500000001,1951,M04,41410
CES0500000001,1951,M05,41535
CES0500000001,1951,M06,41565
CES0500000001,1951,M07,41523
CES0500000001,1951,M08,41493
CES0500000001,1951,M09,41402
CES0500000001,1951,M10,41429
CES0500000001,1951,M11,41521
CES0500000001,1951,M12,41626
CES0500000001,1952,M01,41707
CES0500000001,1952,M02,41872
CES0500000001,1952,M03,41842
CES0500000001,1952,M04,41958
CES0500000001,1952,M05,41948
CES0500000001,1952,M06,41570
CES0500000001,1952,M07,41406
CES0500000001,1952,M08,42206
CES0500000001,1952,M09,42586
CES0500000001,1952,M10,42781
CES0500000001,1952,M11,43015
