week,channel,vendor,spend,vendor_ui,rule_based,mmm
2022-01-03,paid_display,google_uac,2240,189,156,145
2022-01-03,paid_display,tradedesk,4050,245,99,210
2022-01-10,paid_display,google_uac,2380,201,168,158
2022-01-10,paid_display,tradedesk,4320,268,108,225
2022-01-17,paid_display,google_uac,2520,215,179,169
2022-01-17,paid_display,tradedesk,4680,289,116,248
2022-01-24,paid_display,google_uac,2730,234,195,184
2022-01-24,paid_display,tradedesk,5040,312,126,267
2022-01-31,paid_display,google_uac,2590,223,186,175
2022-01-31,paid_display,tradedesk,4770,298,120,255
2022-02-07,paid_display,google_uac,3150,278,232,218
2022-02-07,paid_display,tradedesk,5760,356,143,305
2022-02-14,paid_display,google_uac,3570,312,260,245
2022-02-14,paid_display,tradedesk,6480,398,160,340
2022-02-21,paid_display,google_uac,3850,334,278,262
2022-02-21,paid_display,tradedesk,7020,423,170,362
2022-02-28,paid_display,google_uac,4060,356,297,280
2022-02-28,paid_display,tradedesk,7380,445,179,381
2022-03-07,paid_display,google_uac,3780,334,278,262
2022-03-07,paid_display,tradedesk,6840,412,166,353
2022-03-14,paid_display,google_uac,3570,312,260,245
2022-03-14,paid_display,tradedesk,6480,389,156,333
2022-03-21,paid_display,google_uac,4060,356,297,280
2022-03-21,paid_display,tradedesk,7380,445,179,381
2022-03-28,paid_display,google_uac,4340,378,315,297
2022-03-28,paid_display,tradedesk,7740,467,188,400
2022-04-04,paid_display,google_uac,4060,356,297,280
2022-04-04,paid_display,tradedesk,7200,434,174,372
2022-04-11,paid_display,google_uac,3780,334,278,262
2022-04-11,paid_display,tradedesk,6480,398,160,340
2022-04-18,paid_display,google_uac,4340,378,315,297
2022-04-18,paid_display,tradedesk,7380,445,179,381
2022-04-25,paid_display,google_uac,4620,398,332,313
2022-04-25,paid_display,tradedesk,7740,467,188,400
2022-05-02,paid_display,google_uac,5040,423,353,333
2022-05-02,paid_display,tradedesk,8100,489,0,419
2022-05-09,paid_display,google_uac,5320,445,371,351
2022-05-09,paid_display,tradedesk,8460,512,0,438
2022-05-16,paid_display,google_uac,5600,467,390,368
2022-05-16,paid_display,tradedesk,8820,534,0,457
2022-05-23,paid_display,google_uac,5880,489,408,385
2022-05-23,paid_display,tradedesk,9180,556,0,476
2022-05-30,paid_display,google_uac,5600,467,390,368
2022-05-30,paid_display,tradedesk,8640,523,210,448
2022-06-06,paid_display,google_uac,5320,445,371,351
2022-06-06,paid_display,tradedesk,8100,489,196,419
2022-06-13,paid_display,google_uac,5880,489,408,385
2022-06-13,paid_display,tradedesk,9180,556,223,476
2022-06-20,paid_display,google_uac,6160,512,427,403
2022-06-20,paid_display,tradedesk,9540,578,232,495
2022-06-27,paid_display,google_uac,6440,534,446,421
