production_employees_private,year,month,value_in_thousands
CES0500000006,1964,M01,39914
CES0500000006,1964,M02,40123
CES0500000006,1964,M03,40171
CES0500000006,1964,M04,40209
CES0500000006,1964,M05,40331
CES0500000006,1964,M06,40447
CES0500000006,1964,M07,40624
CES0500000006,1964,M08,40771
CES0500000006,1964,M09,41028
CES0500000006,1964,M10,40829
CES0500000006,1964,M11,41158
CES0500000006,1964,M12,41308
CES0500000006,1965,M01,41454
CES0500000006,1965,M02,41584
CES0500000006,1965,M03,41675
CES0500000006,1965,M04,41885
CES0500000006,1965,M05,42044
CES0500000006,1965,M06,42183
CES0500000006,1965,M07,42364
CES0500000006,1965,M08,42536
CES0500000006,1965,M09,42726
CES0500000006,1965,M10,42871
CES0500000006,1965,M11,43045
CES0500000006,1965,M12,43271
CES0500000006,1966,M01,43400
CES0500000006,1966,M02,43551
CES0500000006,1966,M03,43802
CES0500000006,1966,M04,43959
CES0500000006,1966,M05,44138
CES0500000006,1966,M06,44390
CES0500000006,1966,M07,44484
CES0500000006,1966,M08,44597
CES0500000006,1966,M09,44659
CES0500000006,1966,M10,44789
CES0500000006,1966,M11,44835
CES0500000006,1966,M12,44915
CES0500000006,1967,M01,45051
CES0500000006,1967,M02,44967
CES0500000006,1967,M03,44990
CES0500000006,1967,M04,44872
CES0500000006,1967,M05,44961
CES0500000006,1967,M06,45003
CES0500000006,1967,M07,45105
CES0500000006,1967,M08,45267
CES0500000006,1967,M09,45236
CES0500000006,1967,M10,45279
CES0500000006,1967,M11,45702
CES0500000006,1967,M12,45799
CES0500000006,1968,M01,45655
CES0500000006,1968,M02,45980
CES0500000006,1968,M03,46040
CES0500000006,1968,M04,46239
CES0500000006,1968,M05,46267
CES0500000006,1968,M06,46402
CES0500000006,1968,M07,46562
CES0500000006,1968,M08,46670
CES0500000006,1968,M09,46791
CES0500000006,1968,M10,46991
CES0500000006,1968,M11,47245
CES0500000006,1968,M12,47386
CES0500000006,1969,M01,47529
CES0500000006,1969,M02,47697
CES0500000006,1969,M03,47852
CES0500000006,1969,M04,47960
CES0500000006,1969,M05,48122
CES0500000006,1969,M06,48329
CES0500000006,1969,M07,48431
CES0500000006,1969,M08,48616
CES0500000006,1969,M09,48524
CES0500000006,1969,M10,48670
CES0500000006,1969,M11,48590
CES0500000006,1969,M12,48639
CES0500000006,1970,M01,48566
CES0500000006,1970,M02,48601
CES0500000006,1970,M03,48690
CES0500000006,1970,M04,48482
CES0500000006,1970,M05,48288
CES0500000006,1970,M06,48225
CES0500000006,1970,M07,48235
CES0500000006,1970,M08,48089
CES0500000006,1970,M09,48101
CES0500000006,1970,M10,47621
CES0500000006,1970,M11,47468
CES0500000006,1970,M12,47779
CES0500000006,1971,M01,47859
CES0500000006,1971,M02,47780
