women_in_government,year,month,value_in_thousands
CES9000000010,1964,M01,3640
CES9000000010,1964,M02,3655
CES9000000010,1964,M03,3674
CES9000000010,1964,M04,3698
CES9000000010,1964,M05,3720
CES9000000010,1964,M06,3736
CES9000000010,1964,M07,3869
CES9000000010,1964,M08,3949
CES9000000010,1964,M09,3809
CES9000000010,1964,M10,3822
CES9000000010,1964,M11,3835
CES9000000010,1964,M12,3849
CES9000000010,1965,M01,3867
CES9000000010,1965,M02,3881
CES9000000010,1965,M03,3895
CES9000000010,1965,M04,3913
CES9000000010,1965,M05,3938
CES9000000010,1965,M06,3962
CES9000000010,1965,M07,4126
CES9000000010,1965,M08,4199
CES9000000010,1965,M09,4090
CES9000000010,1965,M10,4104
CES9000000010,1965,M11,4132
CES9000000010,1965,M12,4179
CES9000000010,1966,M01,4193
CES9000000010,1966,M02,4230
CES9000000010,1966,M03,4272
CES9000000010,1966,M04,4314
CES9000000010,1966,M05,4348
CES9000000010,1966,M06,4399
CES9000000010,1966,M07,4544
CES9000000010,1966,M08,4600
CES9000000010,1966,M09,4530
CES9000000010,1966,M10,4550
CES9000000010,1966,M11,4597
CES9000000010,1966,M12,4631
CES9000000010,1967,M01,4646
CES9000000010,1967,M02,4666
CES9000000010,1967,M03,4687
CES9000000010,1967,M04,4706
CES9000000010,1967,M05,4724
CES9000000010,1967,M06,4758
CES9000000010,1967,M07,4662
CES9000000010,1967,M08,4652
CES9000000010,1967,M09,4885
CES9000000010,1967,M10,4910
CES9000000010,1967,M11,4931
CES9000000010,1967,M12,4961
CES9000000010,1968,M01,4995
CES9000000010,1968,M02,5012
CES9000000010,1968,M03,5032
CES9000000010,1968,M04,5045
CES9000000010,1968,M05,5058
CES9000000010,1968,M06,5076
CES9000000010,1968,M07,4929
CES9000000010,1968,M08,4944
CES9000000010,1968,M09,5077
CES9000000010,1968,M10,5095
CES9000000010,1968,M11,5103
CES9000000010,1968,M12,5144
CES9000000010,1969,M01,5172
CES9000000010,1969,M02,5188
CES9000000010,1969,M03,5193
CES9000000010,1969,M04,5208
CES9000000010,1969,M05,5227
